City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mabama,-5.1333,32.5333,20.06,85,74,1.02,TZ,1714327191
83,sao joao da barra,-21.6403,-41.0511,33.05,74,1,3.72,BR,1714327038
84,tura,25.5198,90.2201,26.6,39,3,2.72,IN,1714327191
85,kovalam,8.3667,76.9967,32.05,70,40,1.54,IN,1714327191
86,hamilton,39.1834,-84.5333,28.21,56,40,5.66,US,1714327178
87,constantia,44.1833,28.65,14.38,76,100,3.11,RO,1714326969
88,gadzhiyevo,69.2551,33.3362,-4.28,84,21,2.86,RU,1714327192
89,redencao,-4.2258,-38.7306,29.24,70,62,2.76,BR,1714327192
90,zastron,-30.3023,27.084,14.47,58,98,2.09,ZA,1714327192
91,jiangyou,31.7667,104.7167,21.12,73,97,2.8,CN,1714327192
92,isafjordur,66.0755,-23.124,6.02,65,75,2.57,IS,1714327192
93,yigo village,13.5361,144.8886,26.62,83,75,5.66,GU,1714327192
94,waslala,13.2333,-85.3833,35.19,37,53,2.61,NI,1714327193
95,mejit,10.2753,170.8646,27.74,75,96,7.82,MH,1714327193
96,kolonia town,6.964,158.206,27.07,86,100,7.72,FM,1714327193
97,tres arroyos,-38.3739,-60.2798,18.1,30,0,9.6,AR,1714327193
98,pacific grove,36.6177,-121.9166,18.45,79,0,6.26,US,1714327193
99,acarau,-2.8856,-40.12,28.57,75,95,1.99,BR,1714327193
100,pisco,-13.7,-76.2167,23.03,78,0,4.12,PE,1714327193
101,mahibadhoo,3.7833,72.9667,27.45,84,99,5.59,MV,1714327193
102,stanley,54.868,-1.6985,9.32,62,20,6.69,GB,1714327193
103,newman,37.3138,-121.0208,20.69,59,1,3.13,US,1714327194
104,christchurch,-43.5333,172.6333,9.95,91,100,1.03,NZ,1714326967
105,luderitz,-26.6481,15.1594,20.92,48,3,4.22,NA,1714327194
106,sur,22.5667,59.5289,28.95,62,1,1.54,OM,1714327194
107,vadso,70.0744,29.7487,1.49,75,75,4.12,NO,1714327194
108,deder,9.3167,41.45,16.91,76,100,1.36,ET,1714327194
109,kavaratti,10.5669,72.642,29.71,73,100,4.15,IN,1714327194
110,margaret river,-33.95,115.0667,11.79,71,99,5.6,AU,1714327194
111,ushuaia,-54.8,-68.3,3.81,70,75,3.6,AR,1714327140
112,sambava,-14.2667,50.1667,24.85,90,98,4.7,MG,1714327195
113,kirakira,-10.4544,161.9205,27.36,86,53,2.08,SB,1714327195
114,proletarsk,46.7031,41.7192,22.86,52,40,3.04,RU,1714327195
115,port mathurin,-19.6833,63.4167,26.71,80,78,4.62,MU,1714327195
116,fauske,67.2588,15.3918,8.02,65,6,2.88,NO,1714327195
117,riverton,40.5219,-111.9391,13.69,63,100,3.13,US,1714327195
118,barclayville,4.6797,-8.2339,28.29,80,100,2.83,LR,1714327195
119,port moresby,-9.4431,147.1797,25.68,89,20,3.09,PG,1714326906
120,n'zeto,-7.2312,12.8666,26.9,90,30,3.17,AO,1714327196
121,yellowknife,62.456,-114.3525,-0.71,62,75,4.63,CA,1714326918
122,el granada,37.5027,-122.4694,21.01,73,75,9.26,US,1714327196
123,alofi,-19.0595,-169.9187,24.94,94,75,3.6,NU,1714327196
124,kailua-kona,19.6406,-155.9956,23.49,76,5,1.37,US,1714327196
125,galliano,29.4422,-90.2992,28.89,58,38,8.85,US,1714327196
126,hermanus,-34.4187,19.2345,14.33,80,8,0.95,ZA,1714327196
127,olonkinbyen,70.9221,-8.7187,-0.21,87,90,3.12,SJ,1714327197
128,berwick-upon-tweed,55.7833,-2.0,11.91,83,100,2.73,GB,1714327197
129,mil'kovo,55.6078,37.7956,14.08,56,99,2.84,RU,1714327197
130,cabo san lucas,22.8909,-109.9124,28.67,58,34,1.34,MX,1714327059
131,kodiak,57.79,-152.4072,6.74,72,16,2.7,US,1714327197
132,anahuac,27.2333,-100.15,33.98,14,52,8.72,MX,1714327197
133,maintirano,-18.0667,44.0167,26.48,75,0,5.27,MG,1714327197
134,torgau,51.5667,13.0,20.97,76,94,2.29,DE,1714327197
135,boysun,38.2061,67.1986,8.55,74,86,3.41,UZ,1714327197
136,menongue,-14.6585,17.691,17.76,47,2,2.33,AO,1714327198
137,whitehorse,60.7161,-135.0538,10.05,52,20,3.09,CA,1714327198
138,hithadhoo,-0.6,73.0833,28.62,77,100,8.44,MV,1714327198
139,buka,40.8108,69.1986,11.94,55,100,1.54,UZ,1714327198
140,serra,-20.1286,-40.3078,30.7,73,0,5.66,BR,1714327198
141,port alfred,-33.5906,26.891,22.32,76,96,2.64,ZA,1714327198
142,laojunmiao,39.8333,97.7333,2.13,22,44,7.36,CN,1714327198
143,roma,43.2128,-75.4557,22.28,65,75,2.57,US,1714326954
144,jaten,-7.5772,110.8975,24.9,93,89,2.0,ID,1714327198
145,issia,6.4922,-6.5856,32.05,53,100,2.28,CI,1714327199
146,saint-francois,46.4154,3.9054,11.69,82,0,1.54,FR,1714327199
147,howard springs,-12.497,131.047,24.95,74,9,3.31,AU,1714327199
148,mbaiki,3.8678,17.9892,28.09,56,79,1.07,CF,1714327199
149,punta del este,-34.9667,-54.95,19.06,58,0,5.36,UY,1714327199
150,aswan,24.0934,32.907,35.61,12,0,2.57,EG,1714327122
151,chonchi,-42.6128,-73.8092,13.95,83,87,3.68,CL,1714327199
152,namibe,-15.1961,12.1522,25.17,69,39,3.2,AO,1714327200
153,bilibino,68.0546,166.4372,-13.06,89,61,1.66,RU,1714327200
154,nar'yan-mar,67.6713,53.087,-12.16,95,57,2.68,RU,1714327200
155,swan hill,-35.3378,143.5544,13.54,38,98,2.85,AU,1714327200
156,blackmans bay,-43.0167,147.3167,15.41,58,98,1.34,AU,1714327200
157,port lincoln,-34.7333,135.8667,16.05,90,98,6.0,AU,1714327200
158,mitu,1.1983,-70.1733,33.37,49,56,1.16,CO,1714327200
159,utrik,11.2278,169.8474,27.11,80,93,8.1,MH,1714327201
160,tsiombe,-25.3,45.4833,21.28,76,72,6.26,MG,1714327201
161,kavieng,-2.5744,150.7967,28.08,79,96,2.1,PG,1714327201
162,port elizabeth,-33.918,25.5701,19.62,92,20,5.14,ZA,1714327165
163,salalah,17.0151,54.0924,27.48,72,53,1.27,OM,1714327201
164,cuajinicuilapa,16.4667,-98.4167,34.89,36,81,4.06,MX,1714327201
165,kapuskasing,49.4169,-82.4331,-0.95,86,100,5.14,CA,1714326962
166,sansanne-mango,10.3592,0.4708,32.19,50,49,6.24,TG,1714327202
167,kloulklubed,7.0419,134.2556,28.33,80,100,8.26,PW,1714327202
168,ilulissat,69.2167,-51.1,2.51,83,34,3.38,GL,1714327203
169,tarawa,1.419,172.984,28.05,89,20,3.6,KI,1714327203
170,sao jose da coroa grande,-8.8978,-35.1478,28.99,71,89,4.54,BR,1714327203
171,chandra,-12.195,44.4647,25.04,79,80,6.05,KM,1714327203
172,tupelo,34.2576,-88.7034,26.9,60,75,6.71,US,1714327112
173,tazovsky,67.4667,78.7,-2.77,96,100,9.31,RU,1714326934
174,ati,13.2154,18.3353,34.39,9,14,3.65,TD,1714327204
175,luena,-11.7833,19.9167,17.18,61,2,2.1,AO,1714327205
176,yelizovo,53.1873,158.3805,3.22,100,100,1.34,RU,1714327203
177,la palma,33.8464,-118.0467,24.13,65,20,2.24,US,1714327205
178,neka,36.6508,53.299,17.73,77,0,2.06,IR,1714327205
179,vernon,50.2581,-119.2691,10.72,86,100,2.57,CA,1714327205
180,stornoway,58.2093,-6.3865,9.1,77,20,7.72,GB,1714327205
181,la passe,45.5549,-0.8967,16.13,76,0,3.63,FR,1714327205
182,yuzhno-kurilsk,44.0306,145.8556,5.21,82,100,2.0,RU,1714327205
183,port blair,11.6667,92.75,28.02,89,20,1.03,IN,1714327206
184,masvingo,-20.0637,30.8277,12.42,78,32,0.75,ZW,1714327206
185,rawson,-43.3002,-65.1023,17.62,31,2,9.58,AR,1714327206
186,hammerfest,70.6634,23.6821,2.25,75,75,4.12,NO,1714327206
187,kargasok,59.0556,80.8572,8.28,97,100,7.36,RU,1714327206
188,runing,33.0011,114.3542,15.6,95,10,3.12,CN,1714327206
189,les cayes,18.2,-73.75,30.03,60,27,3.31,HT,1714327206
190,fort bragg,35.139,-79.006,26.01,57,100,4.63,US,1714327086
191,manta,-0.95,-80.7333,30.88,70,40,3.09,EC,1714327207
192,turkmenbasy,40.0222,52.9552,20.43,22,0,4.12,TM,1714327207
193,istaravshan,39.9142,69.0033,8.63,79,100,1.63,TJ,1714327200
194,nuuk,64.1835,-51.7216,1.6,80,28,7.6,GL,1714327207
195,el matama,16.7095,33.3565,36.47,11,0,7.32,SD,1714327207
196,mar del plata,-38.0023,-57.5575,19.73,33,0,7.72,AR,1714326906
197,mahajanga,-15.7167,46.3167,25.01,88,40,7.2,MG,1714327207
198,fale old settlement,-9.3852,-171.2468,30.06,76,100,5.9,TK,1714327207
199,saipan,15.1355,145.701,27.39,83,20,3.6,MP,1714327207
200,putina,-15.4667,-69.4333,10.85,58,5,3.45,PE,1714327208
201,freetown,8.484,-13.2299,29.84,70,40,4.12,SL,1714327208
202,tyukhtet,56.5389,89.3011,8.73,65,100,7.52,RU,1714327208
203,thomasville,35.8826,-80.082,25.6,60,9,1.34,US,1714327126
204,mabaruma,8.2,-59.7833,30.87,55,84,2.48,GY,1714327208
205,cill airne,52.05,-9.5167,11.03,76,75,5.66,IE,1714327208
